Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1659288517,6,GET,/book/Spring%20Festival/Simply%20Lift,0.500000,0.000000,3,3,3,3,3,3,3,3,3,3,3,7,0,3,2.7469714285713716,2.115500000000381,3.0359999999998166,1252.0
1659288517,6,GET,/logout,0.400000,0.000000,4,4,4,5,5,5,5,5,5,5,5,5,0,4.077500000001066,4.348740000000184,4.077500000001066,4.814200000000213,462.0
1659288517,6,POST,/purchasePlaces,0.400000,0.000000,3,3,3,3,3,3,3,3,3,3,3,7,0,3,2.772342857142832,2.255299999999849,3.264899999999571,1325.0
1659288517,6,POST,/showSummary,0.200000,0.000000,3,3,3,3,3,3,3,3,3,3,3,2,0,2.43699999999869,2.5149999999989348,2.43699999999869,2.5929999999991793,1135.0
1659288517,6,,Aggregated,2.000000,0.000000,3,3,3,4,4,5,8,8,8,8,8,30,0,3,3.0716166666666136,1.8471000000008786,8.032700000000004,892.5666666666667
1659288518,6,GET,/,0.500000,0.000000,2,2,2,3,8,8,8,8,8,8,8,9,0,2,2.9710666666666885,1.8471000000008786,8.032700000000004,462.0
1659288518,6,GET,/book/Spring%20Festival/Simply%20Lift,0.500000,0.000000,3,3,3,3,3,3,3,3,3,3,3,7,0,3,2.7469714285713716,2.115500000000381,3.0359999999998166,1252.0
1659288518,6,GET,/logout,0.400000,0.000000,4,4,4,5,5,5,5,5,5,5,5,5,0,4.077500000001066,4.348740000000184,4.077500000001066,4.814200000000213,462.0
1659288518,6,POST,/purchasePlaces,0.400000,0.000000,3,3,3,3,3,3,3,3,3,3,3,7,0,3,2.772342857142832,2.255299999999849,3.264899999999571,1325.0
1659288518,6,POST,/showSummary,0.200000,0.000000,3,3,3,3,3,3,3,3,3,3,3,2,0,2.43699999999869,2.5149999999989348,2.43699999999869,2.5929999999991793,1135.0
1659288518,6,,Aggregated,2.000000,0.000000,3,3,3,4,4,5,8,8,8,8,8,30,0,3,3.0716166666666136,1.8471000000008786,8.032700000000004,892.5666666666667
1659288519,6,GET,/,0.500000,0.000000,2,2,2,3,8,8,8,8,8,8,8,10,0,2,2.9096000000000233,1.8471000000008786,8.032700000000004,462.0
1659288519,6,GET,/book/Spring%20Festival/Simply%20Lift,0.300000,0.000000,3,3,3,3,3,3,3,3,3,3,3,8,0,3,2.7730374999997975,2.115500000000381,3.0359999999998166,1252.0
1659288519,6,GET,/logout,0.400000,0.000000,4,4,4,4,5,5,5,5,5,5,5,6,0,4,4.244733333333972,3.724700000002912,4.814200000000213,462.0
1659288519,6,POST,/purchasePlaces,0.600000,0.000000,3,3,3,3,3,3,3,3,3,3,3,7,0,3,2.772342857142832,2.255299999999849,3.264899999999571,1325.0
1659288519,6,POST,/showSummary,0.200000,0.000000,3,3,3,3,3,3,3,3,3,3,3,3,0,2.609800000001883,2.5465999999999176,2.43699999999869,2.609800000001883,1135.0
1659288519,6,,Aggregated,2.000000,0.000000,3,3,3,4,4,5,8,8,8,8,8,34,0,3,3.0527911764706475,1.8471000000008786,8.032700000000004,884.9411764705883
1659288520,6,GET,/,0.600000,0.000000,2,2,2,3,8,8,8,8,8,8,8,10,0,2,2.9096000000000233,1.8471000000008786,8.032700000000004,462.0
1659288520,6,GET,/book/Spring%20Festival/Simply%20Lift,0.400000,0.000000,3,3,3,3,3,3,3,3,3,3,3,8,0,3,2.7730374999997975,2.115500000000381,3.0359999999998166,1252.0
1659288520,6,GET,/logout,0.300000,0.000000,4,4,4,4,5,5,5,5,5,5,5,7,0,4,4.209185714286206,3.724700000002912,4.814200000000213,462.0
1659288520,6,POST,/purchasePlaces,0.500000,0.000000,3,3,3,3,3,3,3,3,3,3,3,7,0,3,2.772342857142832,2.255299999999849,3.264899999999571,1325.0
1659288520,6,POST,/showSummary,0.200000,0.000000,3,3,3,3,3,3,3,3,3,3,3,3,0,2.609800000001883,2.5465999999999176,2.43699999999869,2.609800000001883,1135.0
1659288520,6,,Aggregated,2.000000,0.000000,3,3,3,4,4,5,8,8,8,8,8,35,0,3,3.0797371428571894,1.8471000000008786,8.032700000000004,872.8571428571429
1659288521,6,GET,/,0.600000,0.000000,2,2,3,3,3,8,8,8,8,8,8,11,0,2,2.873427272727244,1.8471000000008786,8.032700000000004,462.0
1659288521,6,GET,/book/Spring%20Festival/Simply%20Lift,0.400000,0.000000,3,3,3,3,3,3,3,3,3,3,3,9,0,3,2.7576333333329353,2.115500000000381,3.0359999999998166,1252.0
1659288521,6,GET,/logout,0.300000,0.000000,4,4,4,4,5,5,5,5,5,5,5,7,0,4,4.209185714286206,3.724700000002912,4.814200000000213,462.0
1659288521,6,POST,/purchasePlaces,0.500000,0.000000,3,3,3,3,3,3,3,3,3,3,3,7,0,3,2.772342857142832,2.255299999999849,3.264899999999571,1325.0
1659288521,6,POST,/showSummary,0.200000,0.000000,3,3,3,3,3,3,3,3,3,3,3,4,0,2.1807999999978733,2.4551499999994064,2.1807999999978733,2.609800000001883,1135.0
1659288521,6,,Aggregated,2.000000,0.000000,3,3,3,4,4,5,8,8,8,8,8,38,0,3,3.0294131578946577,1.8471000000008786,8.032700000000004,878.921052631579
1659288522,6,GET,/,0.600000,0.000000,2,2,3,3,3,8,8,8,8,8,8,11,0,2,2.873427272727244,1.8471000000008786,8.032700000000004,462.0
1659288522,6,GET,/book/Spring%20Festival/Simply%20Lift,0.500000,0.000000,3,3,3,3,3,3,3,3,3,3,3,10,0,3,2.73268999999976,2.115500000000381,3.0359999999998166,1252.0
1659288522,6,GET,/logout,0.300000,0.000000,4,4,4,4,5,5,5,5,5,5,5,7,0,4,4.209185714286206,3.724700000002912,4.814200000000213,462.0
1659288522,6,POST,/purchasePlaces,0.400000,0.000000,3,3,3,3,3,3,3,3,3,3,3,7,0,3,2.772342857142832,2.255299999999849,3.264899999999571,1325.0
1659288522,6,POST,/showSummary,0.300000,0.000000,3,3,3,3,3,3,3,3,3,3,3,4,0,2.1807999999978733,2.4551499999994064,2.1807999999978733,2.609800000001883,1135.0
1659288522,6,,Aggregated,2.100000,0.000000,3,3,3,4,4,5,8,8,8,8,8,39,0,3,3.016048717948671,1.8471000000008786,8.032700000000004,888.4871794871794
